time,Open,High,Low,Close,VolumeFrom,VolumeTo
49595-11-23,4261.48,4485.39,4200.74,4285.08,795.150377,3454770.05073206
49598-08-19,4285.08,4371.52,3938.77,4108.37,1199.888264,5086958.30617151
49601-05-15,4108.37,4184.69,3850.0,4139.98,381.309763,1549483.73542151
49604-02-09,4120.98,4211.08,4032.62,4086.29,467.083022,1930364.39032646
49606-11-05,4069.13,4119.62,3911.79,4016.0,691.74306,2797231.71402728
49609-08-01,4016.0,4104.82,3400.0,4040.0,966.684858,3752505.77214051
49612-04-27,4040.0,4265.8,4013.89,4114.01,1001.136565,4148686.46581968
49615-01-22,4147.0,4371.68,4085.01,4316.01,787.418753,3296476.41316476
49617-10-18,4316.01,4453.91,4247.48,4280.68,573.61274,2484637.34936327
49620-07-14,4280.71,4367.0,4212.41,4337.44,228.108068,977865.7333321
49623-04-10,4332.51,4400.0,4285.54,4310.01,350.692585,1521580.06202557
49626-01-04,4310.01,4399.82,4124.54,4386.69,603.841616,2591660.52579953
49628-09-30,4353.65,4625.85,4313.55,4587.48,603.545028,2682483.73582991
49631-06-27,4564.52,4647.51,4416.01,4555.14,808.468771,3683714.68666123
49634-03-23,4555.14,4745.42,4555.14,4724.89,556.956802,2579878.72401184
49636-12-17,4689.89,4885.55,4654.88,4834.91,560.666366,2665165.55924616
49639-09-13,4796.16,4939.19,4286.87,4472.14,929.148595,4257723.944817
49642-06-09,4508.5,4714.76,4298.33,4509.08,691.216198,3121052.75230181
49645-03-05,4505.0,4527.49,3972.51,4100.11,1394.644614,5909947.49008974
49647-11-30,4106.97,4484.99,3603.0,4366.47,1228.938157,5083453.18675071
49650-08-26,4366.49,4662.87,4335.26,4619.77,807.363726,3626346.05544323
49653-05-22,4619.77,4788.59,4438.19,4691.61,500.429975,2305795.13638315
49656-02-16,4691.66,4735.39,4028.93,4282.8,1132.255046,4866527.22639337
49658-11-12,4282.8,4426.62,4150.06,4258.81,658.782952,2815383.46568698
49661-08-08,4258.81,4283.0,3801.0,4130.37,660.373275,2700371.80819211
49664-05-04,4153.62,4334.43,4098.91,4208.47,699.989065,2956842.76250147
49667-01-29,4208.6,4394.59,4040.8,4163.72,879.630319,3725190.62328952
49669-10-25,4159.72,4165.38,3760.0,3944.69,913.462545,3570365.92571669
49672-07-21,3944.0,3993.0,3165.13,3189.02,1665.021543,5914261.40460825
49675-04-17,3188.01,3856.0,2817.0,3700.0,1968.866492,6588767.18669446
49678-01-11,3674.01,3950.0,3470.66,3714.95,1297.563953,4804878.24721283
49680-10-07,3685.23,3748.21,3499.02,3699.99,682.17121,2466490.27859466
49683-07-04,3690.0,4123.2,3690.0,4035.01,1030.006455,4069033.05715863
49686-03-30,4060.0,4089.97,3830.91,3910.04,902.332129,3558315.19743872
49688-12-24,3910.04,4046.08,3820.0,3900.0,720.935076,2839584.45308804
49691-09-20,3889.99,3910.0,3567.0,3609.99,1001.654084,3757043.07821264
49694-06-16,3592.84,3750.0,3505.55,3595.87,838.966425,3031771.43292849
49697-03-12,3595.88,3817.19,3542.91,3780.0,752.792791,2799706.99951511
49699-12-07,3779.54,3789.99,3622.76,3660.02,661.63639,2445788.43620041
49702-09-03,3660.02,3979.87,3653.69,3920.75,727.994713,2784170.85318322
49705-05-30,3928.0,3976.99,3850.05,3882.35,526.727987,2061195.57868009
49708-02-24,3882.36,4249.94,3872.81,4193.0,628.170966,2554629.81447101
49710-11-20,4192.11,4300.0,4101.0,4174.5,849.785325,3553178.87037354
49713-08-16,4178.98,4263.86,3952.01,4174.69,1602.309565,6571746.35900076
49716-05-12,4175.0,4380.0,4138.1,4378.51,720.353183,3088354.40084536
49719-02-06,4378.49,4406.52,4240.04,4378.48,726.963685,3137143.89184457
49721-11-02,4400.0,4561.63,4360.0,4380.0,655.756974,2905282.77570845
49724-07-29,4380.0,4467.33,4180.8,4310.0,1082.323563,4627422.74283879
49727-04-25,4314.9,4373.0,4142.0,4208.59,868.465101,3676415.10054891
49730-01-19,4208.59,4355.0,4110.0,4292.43,779.138638,3295532.82397779
49732-10-15,4318.99,4417.0,4292.0,4369.0,506.529176,2212035.12414239
49735-07-12,4369.0,4479.5,4312.56,4423.0,297.5975,1302533.21459281
49738-04-07,4425.0,4658.0,4425.0,4640.0,518.462004,2347356.46944654
49741-01-01,4640.0,4889.98,4550.0,4786.95,646.463145,3040508.90436387
49743-09-28,4786.95,4960.0,4680.59,4783.06,1043.221773,5044283.86347582
49746-06-24,4783.06,4881.61,4710.0,4821.43,753.429396,3609240.90903919
49749-03-20,4821.43,5439.99,4810.16,5430.0,1276.701482,6659759.29119366
49751-12-15,5439.99,5846.17,5379.84,5649.98,1879.82762,10597340.30104987
49754-09-10,5650.0,5900.0,5580.01,5869.99,970.759046,5533972.4859947
49757-06-06,5855.03,5922.3,5400.01,5709.99,1343.523375,7553650.20132813
49760-03-02,5710.0,5788.91,5585.19,5760.02,1528.996462,8701914.79553535
49762-11-27,5760.0,5774.98,5508.63,5595.0,1429.869376,8041662.31881055
49765-08-23,5595.0,5596.0,5037.95,5512.06,2317.804373,12456909.97604373
49768-05-19,5513.0,5710.0,5490.26,5683.9,1881.722107,10609368.77338359
49771-02-13,5683.31,6110.0,5600.0,6010.01,1972.97722,11486552.1888066
49773-11-09,6013.72,6171.0,5850.03,6024.97,1664.307693,10114821.44026351
49776-08-05,6003.27,6060.0,5720.03,5950.02,1362.092216,8035415.37335629
49779-05-02,5975.0,6080.0,5621.03,5915.93,1812.557715,10607190.98072695
49782-01-26,5909.47,5925.0,5450.0,5477.03,2580.418767,14564495.85056032
49784-10-22,5506.92,5704.96,5286.98,5689.99,2282.813205,12544847.89154201
49787-07-19,5670.1,5939.99,5650.0,5861.77,1972.965882,11417126.63602561
49790-04-14,5861.77,5980.0,5649.24,5768.83,1403.706416,8167069.73635031
49793-01-08,5768.79,5850.02,5630.03,5719.64,1276.754412,7308076.01911184
