time,Open,High,Low,Close,VolumeFrom,VolumeTo
2020-12-19,654.55,669.79,646.4,658.7,514459.89,338530489.08
2020-12-20,658.7,661.05,621.84,638.17,477979.98,308930175.05
2020-12-21,638.17,647.83,596.6,607.9,785220.42,486584732.86
2020-12-22,607.9,637.85,587.94,637.23,564395.67,347239331.3
2020-12-23,637.23,638.29,552.44,585.25,839668.75,506935177.53
2020-12-24,585.25,614.84,565.82,612.32,503685.19,295864857.77
2020-12-25,612.32,633.8,604.38,626.83,473363.94,292795859.77
2020-12-26,626.83,651.93,615.66,636.07,551377.41,350294888.79
2020-12-27,636.07,714.04,625.57,683.98,1251438.81,842878848.15
2020-12-28,683.98,746.88,681.29,729.59,1077695.67,781168475.41
2020-12-29,729.59,739.39,688.87,731.55,708399.11,507583628.28
2020-12-30,731.55,758.27,717.54,752.53,670985.03,495447971.32
2020-12-31,752.53,755.68,722.92,737.15,548855.97,405487796.36
2021-01-01,737.15,749.71,717.14,730.6,436164.48,320856381.75
2021-01-02,730.6,788.27,716.71,774.9,904953.39,688632713.33
2021-01-03,774.9,1011.81,770.07,978.69,2200163.67,1987810339.53
2021-01-04,978.69,1163.36,889.78,1043.16,2903509.97,2941908637.58
2021-01-05,1043.16,1133.9,975.69,1103.19,2076858.97,2209100382.41
2021-01-06,1103.19,1214.12,1059.19,1210.59,2484714.82,2817165249.56
2021-01-07,1210.59,1290.46,1151.6,1225.5,1601329.3,1957429185.72
2021-01-08,1225.5,1273.69,1067.33,1216.98,1767634.41,2103290577.04
2021-01-09,1216.98,1307.77,1173.77,1279.96,997317.78,1234090079.14
2021-01-10,1279.96,1350.09,1163.66,1255.72,1503199.13,1931453689.24
2021-01-11,1255.72,1259.54,912.42,1088.37,3649323.14,3831991768.04
2021-01-12,1088.37,1149.87,1007.68,1050.04,1521509.38,1647583878.23
2021-01-13,1050.04,1136.66,985.32,1129.84,1182504.51,1262994625.32
2021-01-14,1129.84,1246.36,1087.39,1232.11,1151856.9,1349158455.8
2021-01-15,1232.11,1255.19,1069.37,1169.06,1395002.47,1643038085.27
2021-01-16,1169.06,1293.2,1152.92,1228.52,1020332.59,1250938805.76
2021-01-17,1228.52,1269.49,1166.6,1233.73,783042.23,957632921.26
2021-01-18,1233.73,1260.68,1183.78,1258.31,663535.05,813409622.3
2021-01-19,1258.31,1439.37,1252.78,1367.65,1607009.53,2197247666.73
2021-01-20,1367.65,1408.06,1234.88,1377.75,1362169.39,1802865032.38
2021-01-21,1377.75,1389.04,1086.55,1111.49,1941246.58,2374156404.45
2021-01-22,1111.49,1275.45,1044.92,1234.56,1781416.3,2068128154.63
2021-01-23,1234.56,1272.57,1197.55,1234.1,617746.69,766118780.58
2021-01-24,1234.1,1400.2,1221.78,1392.45,1164242.17,1540273353.15
2021-01-25,1392.45,1475.49,1296.02,1318.47,1477949.16,2072432387.85
