time,Open,High,Low,Close,VolumeFrom,VolumeTo
49595-11-23,301.13,312.18,298.0,302.0,7030.71034,2154655.3003566
49598-08-19,302.0,311.79,283.94,293.96,9537.84646,2858946.5093539
49601-05-15,293.31,299.9,278.0,290.91,2146.19773,620022.5898617
49604-02-09,289.41,300.53,282.85,299.1,2510.13871,742847.8945599
49606-11-05,299.1,346.52,294.6,323.29,5219.44542,1689472.341214
49609-08-01,321.04,330.41,144.21,309.8,7956.35088,2454425.8033137
49612-04-27,312.25,324.99,309.41,315.74,8665.72569,2753464.9450408
49615-01-22,315.74,328.04,314.01,323.42,6753.27192,2159417.1141537
49617-10-18,323.42,338.28,323.42,327.24,7125.96962,2354162.038294
49620-07-14,327.24,335.44,323.41,330.79,4877.68521,1601994.3773166
49623-04-10,332.18,348.13,330.73,348.13,4635.43715,1554477.3581603
49626-01-04,348.11,351.0,331.95,346.0,4279.1817,1463758.1691041
49628-09-30,347.0,377.6,346.0,374.7,3032.13425,1102069.6205809
49631-06-27,374.7,393.71,362.05,385.93,4446.59608,1679526.2125115
49634-03-23,384.64,389.36,377.78,384.79,4435.86855,1704441.3942666
49636-12-17,386.44,394.39,383.18,388.46,4198.68434,1635227.6137661
49639-09-13,388.58,394.32,320.08,343.14,8240.32724,2904008.4613861
49642-06-09,343.56,367.28,320.08,341.77,5253.62211,1801702.6178029
49645-03-05,339.29,344.55,267.94,283.77,6737.81061,2002446.181802
49647-11-30,286.81,321.52,235.55,312.09,8344.41924,2397490.9178386
49650-08-26,313.29,336.34,312.09,335.0,5486.30988,1793962.8584994
49653-05-22,335.01,342.5,320.17,334.49,3103.89745,1027135.6869524
49656-02-16,334.49,335.1,272.0,302.99,4915.75693,1494309.8866163
49658-11-12,300.01,307.0,281.66,296.74,2740.58822,813750.3589359
49661-08-08,296.72,302.78,261.03,293.5,4156.45099,1181903.7721999
49664-05-04,293.51,304.98,285.21,297.3,4829.64647,1436811.8161569
49667-01-29,297.78,316.46,286.01,293.96,5176.31402,1573452.4124519
49669-10-25,293.93,294.5,257.05,276.91,6451.22836,1761080.8976069
49672-07-21,275.76,283.77,215.0,215.21,12601.95676,3110767.7805647
49675-04-17,217.0,270.93,192.0,253.0,14223.8953,3319311.826735
49678-01-11,255.99,271.81,235.51,249.31,10362.06011,2647152.3723708
49680-10-07,249.32,264.39,239.02,257.55,4614.53337,1149704.2949294
49683-07-04,257.53,306.22,257.11,294.57,4125.97051,1182937.633574
49686-03-30,296.0,300.0,277.41,284.0,1869.90852,535773.5652001
49688-12-24,284.01,294.0,275.91,282.0,1060.56734,302739.7337531
49691-09-20,285.1,287.0,252.1,257.0,1912.55583,516193.1970608
49694-06-16,258.0,272.97,253.01,264.0,1464.5125,382962.217943
49697-03-12,259.99,286.23,255.11,285.93,2824.33572,788810.3244239
49699-12-07,286.5,294.61,275.0,282.0,5575.54422,1582877.4871329
49702-09-03,282.0,299.0,281.34,294.42,5870.48035,1705551.9921018
49705-05-30,294.42,296.81,286.24,287.9,4566.92804,1332125.1654396
