time,BTC_ETH_rollcorr90
49598-08-19,
49601-05-15,
49604-02-09,
49606-11-05,
49609-08-01,
49612-04-27,
49615-01-22,
49617-10-18,
49620-07-14,
49623-04-10,
49626-01-04,
49628-09-30,
49631-06-27,
49634-03-23,
49636-12-17,
49639-09-13,
49642-06-09,
49645-03-05,
49647-11-30,
49650-08-26,
49653-05-22,
49656-02-16,
49658-11-12,
49661-08-08,
49664-05-04,
49667-01-29,
49669-10-25,
49672-07-21,
49675-04-17,
49678-01-11,
49680-10-07,
49683-07-04,
49686-03-30,
49688-12-24,
49691-09-20,
49694-06-16,
49697-03-12,
49699-12-07,
49702-09-03,
49705-05-30,
49708-02-24,
49710-11-20,
49713-08-16,
49716-05-12,
49719-02-06,
49721-11-02,
49724-07-29,
49727-04-25,
49730-01-19,
49732-10-15,
49735-07-12,
49738-04-07,
49741-01-01,
49743-09-28,
49746-06-24,
49749-03-20,
49751-12-15,
49754-09-10,
49757-06-06,
49760-03-02,
49762-11-27,
49765-08-23,
49768-05-19,
49771-02-13,
49773-11-09,
49776-08-05,
49779-05-02,
49782-01-26,
49784-10-22,
49787-07-19,
49790-04-14,
49793-01-08,
49795-10-05,
49798-07-01,
49801-03-28,
49803-12-23,
49806-09-18,
49809-06-14,
49812-03-10,
49814-12-05,
49817-08-31,
49820-05-27,
49823-02-21,
49825-11-17,
49828-08-13,
49831-05-10,
49834-02-03,
49836-10-30,
49839-07-27,
49842-04-22,0.6715933103817299
49845-01-16,0.6621148615357255
49847-10-13,0.6613988054445926
49850-07-09,0.6627492772668814
49853-04-04,0.6781014657006675
49855-12-30,0.6801861512311421
49858-09-25,0.680354194460245
49861-06-21,0.6777086505379756
49864-03-17,0.6664433252883487
49866-12-12,0.6481762391946587
49869-09-07,0.6438345764989102
49872-06-03,0.6420702785014095
49875-02-28,0.6393468546940727
49877-11-24,0.6404122436222317
49880-08-20,0.6411831099602134
49883-05-17,0.641204952318115
49886-02-10,0.6338226052021103
49888-11-06,0.6338281088898556
49891-08-03,0.6101479889165164
49894-04-29,0.6039362158562627
49897-01-23,0.5978315512622097
49899-10-20,0.5119046319556231
49902-07-17,0.4461529066205554
49905-04-12,0.4185780209366456
49908-01-07,0.3981861387142919
49910-10-03,0.3929001559593465
49913-06-29,0.4207820956460592
49916-03-25,0.3688609317360967
49918-12-20,0.19698867399895523
49921-09-15,0.1278682095117687
49924-06-11,0.12143227644441396
49927-03-08,0.12260812472071742
49929-12-02,0.08585759123148896
49932-08-28,0.06783050506117036
49935-05-25,0.061912237958804336
49938-02-18,0.026179606538730596
49940-11-14,0.03487621520422203
49943-08-11,0.15942641842246924
49946-05-07,0.1562310646253652
49949-01-31,0.15023458956438737
49951-10-28,0.14649819859674967
49954-07-24,0.14649029242810485
49957-04-19,0.14668096799369082
49960-01-14,0.16155271696352302
49962-10-10,0.15807841955404944
49965-07-06,0.19547840413862236
49968-04-01,0.20995986003897252
49970-12-27,0.20515126769214762
49973-09-22,0.22754736143898063
49976-06-18,0.2260913902434674
49979-03-15,0.22626122260437298
49981-12-09,0.22495000987345695
49984-09-04,0.2254473443154908
49987-06-01,0.20299826270101656
49990-02-25,0.20164173986441888
49992-11-21,0.1801623618009027
49995-08-18,0.18431307416458217
49998-05-14,0.2123683979544491
50001-02-07,0.21725489306669693
50003-11-04,0.21848429591663301
