month,VolumeTo
49595-11,3454770.05073206
49598-08,5086958.30617151
49601-05,1549483.73542151
49604-02,1930364.39032646
49606-11,2797231.71402728
49609-08,3752505.77214051
49612-04,4148686.46581968
49615-01,3296476.41316476
49617-10,2484637.34936327
49620-07,977865.7333321
49623-04,1521580.06202557
49626-01,2591660.52579953
49628-09,2682483.73582991
49631-06,3683714.68666123
49634-03,2579878.72401184
49636-12,2665165.55924616
49639-09,4257723.944817
49642-06,3121052.75230181
49645-03,5909947.49008974
49647-11,5083453.18675071
49650-08,3626346.05544323
49653-05,2305795.13638315
49656-02,4866527.22639337
49658-11,2815383.46568698
49661-08,2700371.80819211
49664-05,2956842.76250147
49667-01,3725190.62328952
49669-10,3570365.92571669
49672-07,5914261.40460825
49675-04,6588767.18669446
49678-01,4804878.24721283
49680-10,2466490.27859466
49683-07,4069033.05715863
49686-03,3558315.19743872
49688-12,2839584.45308804
49691-09,3757043.07821264
49694-06,3031771.43292849
49697-03,2799706.99951511
49699-12,2445788.43620041
49702-09,2784170.85318322
49705-05,2061195.57868009
49708-02,2554629.81447101
49710-11,3553178.87037354
49713-08,6571746.35900076
49716-05,3088354.40084536
49719-02,3137143.89184457
49721-11,2905282.77570845
49724-07,4627422.74283879
49727-04,3676415.10054891
49730-01,3295532.82397779
49732-10,2212035.12414239
49735-07,1302533.21459281
49738-04,2347356.46944654
49741-01,3040508.90436387
49743-09,5044283.86347582
49746-06,3609240.90903919
49749-03,6659759.29119366
49751-12,10597340.30104987
49754-09,5533972.4859947
49757-06,7553650.20132813
49760-03,8701914.79553535
49762-11,8041662.31881055
49765-08,12456909.97604373
49768-05,10609368.77338359
49771-02,11486552.1888066
49773-11,10114821.44026351
49776-08,8035415.37335629
49779-05,10607190.98072695
49782-01,14564495.85056032
49784-10,12544847.89154201
49787-07,11417126.63602561
49790-04,8167069.73635031
49793-01,7308076.01911184
49795-10,10620967.62459168
49798-07,9030219.28673499
49801-03,9487640.8400991
49803-12,10951171.07254041
49806-09,17369001.33091877
49809-06,13614451.74654126
49812-03,10064538.39659038
49814-12,9000403.86573288
49817-08,12673524.6216398
49820-05,10173272.33780804
49823-02,20491286.19840822
49825-11,13798534.34721742
49828-08,22083345.18396158
49831-05,17681445.46474999
49834-02,29711508.60084671
49836-10,16498136.09913936
49839-07,8168729.97122799
49842-04,12446186.45092821
49845-01,17499577.25815967
49847-10,31024092.61951179
49850-07,30334498.31525712
49853-04,30322635.7689457
49855-12,31567135.38731295
49858-09,37074997.58090905
49861-06,29124078.47217724
49864-03,33400702.99957629
49866-12,35840264.45804051
49869-09,36093005.20140187
49872-06,37138533.83941873
49875-02,42961064.95202934
49877-11,48235644.0576554
49880-08,135976167.45757934
49883-05,91430904.34116387
49886-02,62260697.58291551
49888-11,52046689.84006951
49891-08,60350708.29332783
49894-04,52814985.63993067
49897-01,64721253.04527842
49899-10,84409526.69576178
49902-07,109555325.34649764
49905-04,271586476.6191432
49908-01,205372672.98786432
49910-10,233767963.46201488
49913-06,193045127.9036004
49916-03,155716213.09834388
49918-12,196769674.31153056
49921-09,186092495.1834846
49924-06,159809704.04408672
49927-03,76293721.36508314
49929-12,175867439.47045135
49932-08,196339245.745198
49935-05,232790625.92336664
49938-02,221193892.50223887
49940-11,320176825.29037607
49943-08,477509934.71828645
49946-05,184759685.33206663
49949-01,365709589.60302895
49951-10,213139657.6289145
49954-07,224843731.89656883
49957-04,231229932.48204055
49960-01,303401227.98652
49962-10,260911629.21807677
49965-07,247803953.75248587
49968-04,155283285.36704132
49970-12,114799747.44197056
49973-09,279717107.4337192
49976-06,236116868.33619007
49979-03,312781583.79830784
49981-12,369321956.4868375
49984-09,309216920.9864104
49987-06,206194706.37068355
49990-02,396569997.15746266
49992-11,210630187.45766863
49995-08,244011366.763028
49998-05,446587594.6937379
50001-02,222516076.27145907
50003-11,173086488.54788405
50006-07,226525305.12938112
50009-04,200614554.538343
50012-01,722150828.1494024
50014-10,744154180.1312059
50017-07,541289614.0584047
50020-04,382773499.2265792
50023-01,358561107.78097045
50025-09,485289230.8188924
50028-06,475716514.20869696
50031-03,399419413.2329807
50033-12,299470607.4302002
50036-09,236081364.97365227
50039-06,360482470.17375433
50042-03,212663199.53348225
50044-11,200211582.9434541
50047-08,162110154.87880376
50050-05,268978329.50861526
50053-02,181644207.11316264
50055-11,317636345.9843711
50058-08,434236483.7044874
50061-05,256834729.0599109
50064-01,274912288.421322
50066-10,471166218.7134473
50069-07,684364276.3666689
50072-04,477935038.8117769
50075-01,11770168.04386595
50077-10,173348469.81187892
50080-07,423411421.93098
50083-03,366966437.2498885
50085-12,362440826.9943769
50088-09,305165143.6969234
50091-06,370126692.728233
50094-03,512388484.73178285
50096-12,381103299.2238848
50099-09,446012696.1692673
50102-05,649423311.3100228
50105-02,443766562.68306607
50107-11,551573232.2429588
50110-08,731537130.492186
50113-05,682006373.869588
50116-02,571800753.4709765
50118-11,405618586.64803785
50121-07,271286599.1260862
50124-04,347559259.73845184
50127-01,324295371.1414657
50129-10,327914696.13067526
50132-07,268172535.3811293
50135-04,262936307.0078576
50137-12,241749497.9024717
50140-09,194849579.12502077
50143-06,174866951.39806527
50146-03,323842216.64859617
50148-12,514808033.4879209
50151-09,394641280.63843673
50154-06,567082901.1319405
50157-03,341210248.41481787
50159-11,403491260.9275316
50162-08,395562731.86503726
50165-05,367353984.7132836
50168-02,426058009.75594646
50170-11,422130717.47310126
50173-08,322355002.16519487
50176-04,265973111.6176285
50179-01,458311733.5188204
50181-10,462654338.98212785
50184-07,387879393.4706143
50187-04,358157473.3612324
50190-01,354804129.3433086
50192-10,340755592.544531
50195-06,313254829.9051367
50198-03,247023172.30795503
50200-12,358429758.8731952
50203-09,297609656.4404365
50206-06,209186093.18317956
50209-03,405591158.6323181
50211-12,450352009.170998
50214-08,258341534.47236213
50217-05,297470498.81956285
50220-02,224322159.41331607
50222-11,277080072.7617128
50225-08,297443582.7461225
50228-05,263446941.1321242
50231-02,182139799.80865908
50233-10,222323863.54144785
50236-07,149967346.66269
50239-04,234309953.7503344
50242-01,151417844.2663968
50244-10,165264003.41270605
50247-07,485176252.48933566
50250-04,439884522.7119489
50252-12,252868761.32061628
50255-09,230287099.58430216
50258-06,295817536.4749528
50261-03,258221765.57371348
50263-12,217649160.11017892
50266-09,222675105.7884542
50269-06,337288580.42571294
50272-02,358915978.10403395
50274-11,261804372.9093471
50277-08,229754640.59668773
50280-05,431210048.0625035
50283-02,745137762.9688668
50285-11,385046648.1378661
50288-08,342805674.55176014
50291-04,321653866.2001887
50294-01,357004895.9636862
50296-10,325019389.2499412
50299-07,368688349.6216845
50302-04,238421833.7581133
50305-01,366028365.2271445
50307-10,277565997.63316435
50310-06,246807563.50646487
50313-03,267359420.30359015
50315-12,316015961.44182944
50318-09,236418155.68693513
50321-06,235736782.28825977
50324-03,231595002.59561664
50326-12,418859806.4816156
50329-08,337899865.8601308
